,Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,Image,Condition,Tissue,ExptDate,Treatment,Dose,Stains,Embryo,Somites,Section
1,Expt_NC,3,110.221,36.74,2.565,255.0,9368.745,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec3,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec3
0,Cntl_NC,3,129.235,43.078,2.965,255.0,10984.952,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec2,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec2
1,Expt_NC,3,108.417,36.139,2.842,255.0,9215.446,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec2,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec2
0,Cntl_NC,2,54.518,27.259,1.172,255.0,6951.005,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec4,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec4
1,Expt_NC,2,96.205,48.102,1.797,255.0,12266.091999999999,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec4,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec4
0,Cntl_NC,2,57.816,28.908,2.024,255.0,7371.481,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_6ss_sec2,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,6ss,sec2
1,Expt_NC,3,110.375,36.792,3.534,255.0,9381.885,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_6ss_sec2,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,6ss,sec2
0,Cntl_NC,1,15.562000000000001,15.562000000000001,0.36,255.0,3968.248,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec2,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec2
1,Expt_NC,1,28.186,28.186,0.637,255.0,7187.522,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec2,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec2
0,Cntl_NC,2,63.32899999999999,31.665,1.158,255.0,8074.465,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec3,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec3
1,Expt_NC,2,45.603,22.802,1.015,255.0,5814.404,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec3,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec3
0,Cntl_NC,2,64.875,32.438,2.173,255.0,8271.564,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_6ss_sec3,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,6ss,sec3
1,Expt_NC,6,202.457,33.743,7.122000000000001,255.0,8604.440999999999,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_6ss_sec3,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,6ss,sec3
0,Cntl_NC,3,75.335,25.112,2.392,255.0,6403.509,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_6ss_sec1,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,6ss,sec1
1,Expt_NC,4,126.86399999999999,31.715999999999998,3.864,255.0,8087.606,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_6ss_sec1,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,6ss,sec1
