,Slice,Count,Image,Date,Embryo,Treatment,Stains,FOV
2,3,0,20210807_Emb5_SMPD3MO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV2_Puncta,20210807,Emb5,SMPD3MO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV2
0,1,4,20210807_Emb1_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV7_Puncta,20210807,Emb1,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV7
1,2,1,20210807_Emb1_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV7_Puncta,20210807,Emb1,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV7
0,1,4,20210807_Emb4_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV7_Puncta,20210807,Emb4,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV7
1,2,3,20210807_Emb4_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV7_Puncta,20210807,Emb4,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV7
0,1,6,20210807_Emb6_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV2_Puncta,20210807,Emb6,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV2
0,1,6,20210807_Emb3_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV2_Puncta,20210807,Emb3,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV2
1,2,0,20210807_Emb3_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV2_Puncta,20210807,Emb3,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV2
0,1,8,20210807_Emb2_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV10_Puncta,20210807,Emb2,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV10
1,2,0,20210807_Emb2_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV10_Puncta,20210807,Emb2,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV10
2,3,0,20210807_Emb2_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV10_Puncta,20210807,Emb2,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV10
3,4,0,20210807_Emb2_ControlMO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV10_Puncta,20210807,Emb2,ControlMO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV10
0,1,1,20210807_Emb3_SMPD3MO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV4_Puncta,20210807,Emb3,SMPD3MO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV4
1,2,1,20210807_Emb3_SMPD3MO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV4_Puncta,20210807,Emb3,SMPD3MO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV4
2,3,3,20210807_Emb3_SMPD3MO_H2BRFP;PostPermFLAG;PrePermFLAG;TPMT_FOV4_Puncta,20210807,Emb3,SMPD3MO,H2BRFP;PostPermFLAG;PrePermFLAG;TPMT,FOV4
