Date,Treatment,Ceramide,Explant,FOV,ROI,ControlMO_DMSO,SMPD3MO_DMSO,SMPD3MO_C12Cer;10uM,SMPD3MO_C12Cer;50uM
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0863-0189,49224.397451000004,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0924-0846,256116.930743,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0102-0446,838587.1242000001,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0110-0596,1749490.0510999998,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0170-0112,237342.4576,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0331-0329,184283.6837,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0363-0816,99758.97669999998,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0382-0392,323518.5574,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0524-0416,467155.7059,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0662-0629,44037.37539999999,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0802-0160,400659.4076,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0823-0131,74733.7665,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0843-0807,205611.907,,,
20221022,ControlMO,DMSO,Explant2,FOV2,0003-0872-0064,130773.1261,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0083-0807,391249.883884,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0087-0695,577881.55656,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0124-0279,453722.785383,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0196-0159,194228.17457700003,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0225-0737,436679.39367300004,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0257-0572,203358.12796,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0268-0205,129956.54845200002,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0331-0966,53882.527074000005,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0378-0137,264907.840258,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0459-0813,110450.538872,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0471-0517,652287.7183139999,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0489-0892,95367.548396,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0526-0728,516373.182651,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0672-0612,115858.94515399999,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0692-0484,1833039.306253,,,
20221022,ControlMO,DMSO,Explant2,FOV3,0003-0880-0486,258435.32561,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0112-0524,463309.215416,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0207-0471,220216.87767999998,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0495-0465,268640.90791999997,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0608-0124,49308.237903999994,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0640-0239,47468.20069599999,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0651-0157,55614.14496,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0795-0818,377100.95488800004,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0839-0398,708343.9723759999,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0870-0155,158464.79791999998,,,
20221022,ControlMO,DMSO,Explant2,FOV4,0003-0877-0261,444602.976352,,,
20221022,ControlMO,DMSO,Explant4,FOV1,0003-0144-0738,349862.129129,,,
20221022,ControlMO,DMSO,Explant4,FOV1,0003-0204-0810,155405.6642,,,
20221022,ControlMO,DMSO,Explant4,FOV1,0003-0418-0382,892975.387932,,,
20221022,ControlMO,DMSO,Explant4,FOV1,0003-0419-0686,353908.94695899996,,,
20221022,ControlMO,DMSO,Explant4,FOV1,0003-0422-0191,213075.84856999997,,,
20221022,ControlMO,DMSO,Explant4,FOV1,0003-0591-0613,532869.674663,,,
20221022,ControlMO,DMSO,Explant4,FOV2,0002-0195-0447,326633.71473,,,
20221022,ControlMO,DMSO,Explant4,FOV2,0002-0451-0582,329426.746574,,,
20221022,ControlMO,DMSO,Explant4,FOV2,0002-0481-0804,741809.52675,,,
20221022,ControlMO,DMSO,Explant4,FOV2,0002-0571-0683,37455.355947,,,
20221022,ControlMO,DMSO,Explant4,FOV2,0002-0781-0770,208502.391296,,,
20221022,ControlMO,DMSO,Explant4,FOV2,0003-0410-0253,115015.381773,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0079-0467,139304.739375,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0196-0695,29520.147749999996,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0253-0400,134392.684625,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0596-0678,223062.57262499997,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0643-0468,58141.054125,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0706-0731,123118.02724999998,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0722-0330,73467.73287499999,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0863-0634,152547.534,,,
20221022,ControlMO,DMSO,Explant4,FOV3,0003-0906-0191,74443.629625,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0072-0522,269772.324312,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0283-0725,46111.972274000014,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0289-0877,80269.09386999998,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0330-0815,16814.049307999987,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0375-0237,113210.51173799999,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0556-0613,58668.941413999986,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0582-0417,77343.089882,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0619-0548,287640.881916,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0625-0179,67149.176782,,,
20221022,ControlMO,DMSO,Explant4,FOV4,0003-0678-0356,331527.822094,,,
20221022,ControlMO,DMSO,Explant5,FOV1,0003-0216-0785,128993.13257100001,,,
20221022,ControlMO,DMSO,Explant5,FOV1,0003-0639-0145,137762.99203099997,,,
20221022,ControlMO,DMSO,Explant5,FOV1,0003-0790-0222,195516.567404,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0123-0417,662600.31184,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0172-0111,145453.901368,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0311-0793,38983.105744,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0382-0266,144792.309184,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0425-0548,47202.38068,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0442-0854,35011.06905600001,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0450-0276,122770.43896800002,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0474-0527,79104.665088,,,
20221022,ControlMO,DMSO,Explant5,FOV2,0003-0636-0366,59361.440968,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0270-0587,157195.71531200001,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0390-0814,40165.574768,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0394-0706,130833.93274999999,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0418-0586,223305.78397800002,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0469-0728,458736.55579,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0484-0643,94909.21456200001,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0547-0074,636462.0675840001,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0549-0563,54983.51325599999,,,
20221022,ControlMO,DMSO,Explant5,FOV3,0003-0580-0933,480571.37944200006,,,
