Gene_ID,PSM_Rep1,PSM_Rep2,PSM_Rep3,ES_Rep1,ES_Rep2,ES_Rep3,MS_Rep1,MS_Rep2,MS_Rep3,DS_Rep1,DS_Rep2,DS_Rep3
ENSGALG00000006068,2602.479342,2890.579275,2812.932116,2533.716097,2977.795685,3149.926513,3137.68183,3091.191051,3363.184522,3026.03978,2898.6426,3533.040237
ENSGALG00000006069,376.0645,365.9078,396.251,363.7431,404.2105,484.5659,534.477,530.5852,641.3777,570.6243,560.334,583.221
ENSGALG00000006072,3,0,0,0,0,0,0,0,0,0,5,0
ENSGALG00000006073,493.985,661.975,477.949,528.888,501.983,500.908,531.968,471.979,509.943,616.918,508.951,595.899
ENSGALG00000006074,21.6236,20,35.2042,19.74848,25.0026,45.1748,53.1036,52.3846,32.4088,39.6708,45.3848,62.2888
ENSGALG00000006076,29.4623,38.6323,64.859,23.1789,37.677,36.9873,53.0892,41.2247,25.8636,25.3726,60.5339,42.1332
ENSGALG00000006077,2779.81,3018.329,2938.76,4027.629,3603.8,4984.891,3913.8,3650.837,3969.827,3136.408,3481.76,3848.47
ENSGALG00000006078,338.944,324.4928,329.039,409.591,463.4971,406.1215,424.392,363.5597,500.109,326.3863,441.894,393.6017
ENSGALG00000006080,3843.404,4015.557,5043.63,7367.39,8600.31,9786.8993,7912.12,8105.95,8658.04,7324.54262,7889.01482,8819.69
ENSGALG00000006083,86.0433,74,53.4111,82.1738,56.009,96,103,116.944,115.21,149,121.318,205.006
ENSGALG00000006087,1506.26546,2413.8023,2784.15428,1087.5701,1210.68,538.1735,680.143,217.00022,151.00026,333.8747,478.111,451.258
ENSGALG00000006088,1108.508,1140.613,1172.996,1279.996,1200.985,1536.076,1339.691,1249.766,1291.228,1152.412,1340.053,1465.274
ENSGALG00000006091,6.35021,4.63132,5.50807,12.1368,7.03457,6.55875,7.73661,7.63818,6.95494,8.13045,8.27981,10.319
ENSGALG00000006092,762.316,714.459,673.966,604.76,765.849,703.211,804.206,658.276,716.755,675.173,732.808,756.464
ENSGALG00000006094,1427.65,1645.13,1520.27,1536.84,1847.97,2003.93,1979,1993.54,2099.11,1472.98,1977.21,2058.6
ENSGALG00000006095,0.326893,0.317146,0,0,0,0,0,0,0,0,0,0
ENSGALG00000006096,7220.31768,7428.4855,7113.64034,7123.02103,6593.41566,8041.2538,7716.17354,6505.6241,7647.2151,7409.78146,7376.25853,7412.66411
ENSGALG00000006097,2619.34,2601.55,3445.1,3363.39,2927.32,4154.31,3133.05,3204.16,3404.83,3941.41,3079.92,3412.36
ENSGALG00000006098,439.70588,500.98,383.841,501.375,454.055,519.222,530.716,344.3862,536.14613,318.504,426.625,399.042
ENSGALG00000006099,693.553,508.902,628.923,425.251,357.034,358.438,565.688,322.058,372.53,625.272,523.327,548.826
ENSGALG00000006101,652.449,638.659,603.791,636.527,680,820.118,719.094,646.568,759.525,589.874,693.747,731.262
ENSGALG00000006104,56.9182,52.9559,31,77,26.6799,89.8655,137.796,118.986,82.8738,121.594,183.043,209.602
ENSGALG00000006106,6,5,7,16,6,16,9,11,10,18.238,8,4.90298
ENSGALG00000006108,1056.64,1057.68,898.351,1158.73,1207.96,1133.52,1334.5,1125.56,1399.61,1248.02,1340.07,1392.71
ENSGALG00000006109,427.538,463.052,493.052,451.521,502.871,542.747,499.642,480.015,548.943,429.768,468.464,617.732
ENSGALG00000006110,6301.239,5353.68,6754.516,7026.57,7741.276,8465.711,8747.97,7581.669,8378.705,6929.2189,7567.51,8369.162
ENSGALG00000006112,45.536,39.8408,29.2418,19.53181,16.5778,11.3528562,13,24.85347,14.6524,14.2838,18.6607,43
ENSGALG00000006113,3488.82,3870.44,3712,4290.88,4274,5454.32,4357.12,4101.5,4563.2,3371.09,4226.64,4398.34
ENSGALG00000006117,760.149,587.198,694.469,4.75187,698.476,91.7949,700.545,378.403,827.838,184.028,532.294,597.579
ENSGALG00000006118,701.287,601.164,881.186,755.574,807.239,1063.81,759.532,793.944,856.47,733.395,751.192,838.921
ENSGALG00000006119,5.87961,6.04899,8,7,16,5,22,11.7736,15,8,26,0
ENSGALG00000006120,107.012,102.864,120.149,105.027,129.13,162.271,171.484,99.6182,105.044,153.357,147.746,157.378
ENSGALG00000006121,1875.52,1869.66,1942.71,1569.65,1883.68,1874.88,1892.1,1832.42,1971.39,1434.05,1869.59,2031.69
ENSGALG00000006122,350.3,315.939,355.775,357.208,327.995,455.639,364.424,275.893,351.876,357.492,354.313,321.961
ENSGALG00000006123,1065.857,1180.576,1181.958,1126,1320.067,1548.997,1316.187,1217,1300.121,1099.711946,1292.778,1304.52
ENSGALG00000006127,3262.95,3683.5,3560.65,3483.58,3853.4,4408.7,4657.62,3858.83,4498.54,3600.94,4510.13,4692.77
ENSGALG00000006130,12,5,7,4,6,2,7,10.6532,5,14.4862,11.5763,21.521
ENSGALG00000006131,6.45259,11.4302,1,3.22025,0,0,1,0,1,0,3,3.58153
ENSGALG00000006132,966.903,1104.4272,866.5742,1080.277709,1044.5113,1183.3848,1231.158,992.198853,1160.8799,962.4959,1087.9975,1174.6294
ENSGALG00000006133,2,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00000006134,7.51173,5.04298,2.52129,0,8,5.19091,5,5,4,6.37228,8.20199,5.06822
ENSGALG00000006137,151.962,170.395,108.359,101.506,56.7765,47.712,51.173,26.2603,42.4251,50.7384,70.8296,72.5967
ENSGALG00000006138,0,23.9468,0,0,13.975,11.4105,4.90085,0,0,0,0,58.9596
ENSGALG00000006140,170.426,156.314,110.353,151.094,149.479,169.04,165.462,146.528,170.802,120.409,157.646,179.361
