"","Gene id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ES_Rep1","ES_Rep2","ES_Rep3","MS_Rep1","MS_Rep2","MS_Rep3"
"21","ENSGALG00000037310",119.243409093349,-3.19243764444503,0.581912621895637,-5.48611170186574,4.10877141350693e-08,2.82331292842405e-05,304.933678688754,210.429446051017,129.69122695696,50.3851855684204,10.5696250445881,9.45129225035539
"22","ENSGALG00000007657",196.789492033165,-1.66961952119449,0.306655734667472,-5.44460557049415,5.19203038946783e-08,3.40549993272822e-05,354.353964545207,312.973744634254,231.462814777352,132.745585055261,61.303825258611,87.8970179283052
"23","ENSGALG00000010293",136.427271985813,-1.50955142395834,0.278075200951708,-5.4285726263684,5.68065294804558e-08,3.56399226262164e-05,247.101429282266,209.361276274109,149.505164408718,59.1056984552624,75.0443378165755,78.4457256779498
"24","ENSGALG00000003965",142.762677940271,2.02897936039674,0.378880497226053,5.35519609811478,8.5463677433479e-08,5.02676040323632e-05,34.6993496438927,45.9313004070749,87.361451491841,195.727067015787,182.854513271374,310.002385811657
"25","ENSGALG00000005628",563.006044591445,1.70516873378927,0.318616559931685,5.35178941783464,8.70887110747803e-08,5.02676040323632e-05,138.797398575571,307.632895749711,345.843271885226,660.82108764736,1176.39926746266,748.542346228147
"26","ENSGALG00000011207",1071.51236791941,-0.683470847326877,0.128747294564092,-5.30862298614466,1.10456542367418e-07,6.1303381013917e-05,1437.39427161216,1335.2122211359,1190.63751414653,845.889750023673,714.506653014156,905.433797584047
"27","ENSGALG00000010161",46.9333370800147,-3.21637050092731,0.607705310647776,-5.29264833558697,1.20557610993453e-07,6.44313454309457e-05,101.995058044169,116.43050568305,36.0253408213777,9.68945876315777,4.22785001783524,13.2318091504976
"28","ENSGALG00000027513",133.390627834676,-2.06169685767064,0.391217358251078,-5.26995240417597,1.36459138574676e-07,7.03251917725921e-05,331.221064782612,196.543238951204,117.982991190012,59.1056984552624,53.9050877273993,41.5856859015637
"29","ENSGALG00000037272",565.021763391033,-0.997625734498368,0.191070993666243,-5.22123068162293,1.77737971925026e-07,8.84399632716595e-05,908.492063403736,573.607170199982,776.34609470069,339.131056710522,424.898926792442,367.655268538825
"30","ENSGALG00000010983",132.448774811889,-1.39676135942106,0.269381067839792,-5.18507618453627,2.15926580534463e-07,0.000103860685237077,205.041611532093,216.83846471247,154.00833201139,78.4846159815779,84.5570003567048,55.7626242770968
"31","ENSGALG00000004631",344.419923288436,1.372473013955,0.266656729209373,5.14696560639714,2.64733841973589e-07,0.000119378416864966,123.024966919256,212.565785604835,239.568516462162,401.143592794732,611.981290081651,478.235387867983
"32","ENSGALG00000026983",224.956797645278,-1.46247721193496,0.284031530117157,-5.14899599819682,2.61884468333997e-07,0.000119378416864966,444.782572708079,311.905574857346,234.164715338955,118.211396910525,95.1266254012929,145.549900655473
"33","ENSGALG00000006346",3379.46426355423,-0.692849328532572,0.135835714399513,-5.10064184220947,3.38503587042946e-07,0.000143664904736168,5127.09178374608,3860.36557374811,3540.3903692209,2556.07922172102,2539.88089821452,2652.97773467476
