Gene_ID	NC_8ss_rep1	NC_8ss_rep2	NC_8ss_rep3	NC_8ss_rep4	NC_5ss_rep1	NC_5ss_rep2	NC_5ss_rep3	NC_5ss_rep4	Neg_rep1	Neg_rep2	Neg_rep3
ENSGALG00000029446	93	72	51	67	91	21	82	83	45	122	134
ENSGALG00000006891	5	20	10	0	1	0	0	12	12	11	31
ENSGALG00000006833	10	37	14	29	37	14	19	31	18	44	43
ENSGALG00000030702	775	719	869	946	1080	784	775	913	790	684	751
ENSGALG00000006753	15161	16865	27199	27578	22777	18276	22702	27351	17820	19842	26640
ENSGALG00000006731	2401	2790	2547	3057	3244	3608	3555	3075	2553	4751	3254
ENSGALG00000029270	373	403	216	167	741	793	652	309	1347	879	932
ENSGALG00000048044	0	0	0	0	3	0	0	0	0	4	1
ENSGALG00000050432	1	0	0	0	0	0	0	0	0	0	0
ENSGALG00000050900	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000047165	14	0	0	3	1	15	0	0	0	0	0
ENSGALG00000049441	0	11	65	33	38	20	21	28	0	8	3
ENSGALG00000034590	322	554	350	451	339	306	564	506	1288	1037	1156
ENSGALG00000025441	0	3	0	0	0	0	0	0	2	0	0
ENSGALG00000025473	0	0	0	4	0	0	1	0	0	0	3
ENSGALG00000049014	0	0	0	3	0	0	5	2	0	7	4
ENSGALG00000046927	226	264	97	226	97	94	183	109	505	369	398
ENSGALG00000035563	2650	2368	1425	2360	2889	2272	2103	2085	1796	1225	1671
ENSGALG00000048819	6	4	0	0	0	0	0	0	0	0	1
ENSGALG00000006690	323	261	938	640	245	158	429	450	226	936	522
ENSGALG00000055058	366	379	186	173	448	398	398	307	480	204	207
ENSGALG00000033772	3044	3431	1724	2522	4593	3260	2856	2589	2322	2246	1787
ENSGALG00000003674	238	235	369	429	253	203	563	403	153	305	389
ENSGALG00000036300	1599	1476	1475	1850	3183	2819	2098	2522	2110	1281	1734
ENSGALG00000013967	46	82	125	167	65	126	155	173	18	142	111
