,Date,Embryo,Treatment,FOV,ROI,Area,Mean,IntDen,CTCF
89,20210804,Emb2,GW4869;25uM,FOV4,0004-1356-2793,490.19699999999995,209.02900000000002,102465.606,13220.340180000014
90,20210804,Emb2,GW4869;25uM,FOV4,0004-2679-1776,402.717,232.387,93586.25099999999,20267.59397999999
91,20210804,Emb2,GW4869;25uM,FOV4,0004-2916-1638,476.017,235.832,112260.07800000001,25596.422980000003
92,20210804,Emb2,GW4869;25uM,FOV4,0004-2867-0246,705.441,240.49,169651.616,41219.027539999995
93,20210804,Emb2,GW4869;25uM,FOV4,0004-2511-0457,584.31,245.58700000000002,143498.844,37119.365400000024
94,20210804,Emb2,GW4869;25uM,FOV4,0004-0315-2105,664.487,221.58900000000003,147242.816,26266.312779999993
95,20210804,Emb2,GW4869;25uM,FOV4,0004-0184-2359,389.289,206.472,80377.223,9503.267659999998
96,20210804,Emb2,GW4869;25uM,FOV4,0004-0412-1808,358.162,236.007,84528.984,19322.010280000002
97,20210804,Emb2,GW4869;25uM,FOV4,0004-0583-2345,409.369,228.692,93619.487,19089.76685999999
98,20210804,Emb2,GW4869;25uM,FOV4,0004-0913-2441,429.144,235.887,101229.368,23099.41136
99,20210804,Emb3,DMSO;1percent,FOV3,0002-2946-1510,608.852,381.74300000000005,232425.36899999998,100701.456504
100,20210804,Emb3,DMSO;1percent,FOV3,0002-3106-1615,596.252,374.68199999999996,223405.21,94407.28230400001
101,20210804,Emb3,DMSO;1percent,FOV3,0002-2619-1315,592.089,592.4019999999999,350754.25,222656.979028
102,20210804,Emb3,DMSO;1percent,FOV3,0002-2990-0839,746.584,410.70599999999996,306626.167,145104.21176800004
103,20210804,Emb3,DMSO;1percent,FOV3,0002-3433-1073,428.744,459.18699999999995,196873.674,104115.767088
104,20210804,Emb3,DMSO;1percent,FOV3,0002-2763-3074,367.541,551.7,202772.547,123255.786732
105,20210804,Emb3,DMSO;1percent,FOV3,0002-2403-2919,389.85900000000004,723.46,282047.269,197702.05406799997
106,20210804,Emb3,DMSO;1percent,FOV3,0002-0494-1160,546.612,447.49699999999996,244607.143,126348.73002400003
107,20210804,Emb3,DMSO;1percent,FOV3,0002-0765-1200,420.39599999999996,650.702,273552.408,182600.57419200003
108,20210804,Emb3,DMSO;1percent,FOV3,0002-1031-1213,611.8969999999999,566.122,346408.566,214025.87384400002
109,20210804,Emb3,DMSO;1percent,FOV3,0002-2615-2826,456.961,572.989,261833.693,162971.094572
110,20210804,Emb3,DMSO;1percent,FOV3,0002-2473-2584,327.849,673.9939999999999,220968.41100000002,150038.93554800004
111,20210804,Emb3,DMSO;1percent,FOV3,0002-2313-2692,298.913,519.1759999999999,155188.413,90519.183276
112,20210804,Emb3,DMSO;1percent,FOV3,0002-1220-2576,366.185,646.828,236858.587,157635.19462000002
113,20210804,Emb3,DMSO;1percent,FOV3,0002-0991-2506,299.618,543.155,162739.038,97917.282936
114,20210804,Emb4,GW4869;25uM,FOV2,0002-1671-3391,754.097,239.425,180549.55899999998,21566.304877999995
115,20210804,Emb4,GW4869;25uM,FOV2,0002-1942-3000,1316.89,219.102,288533.707,10899.055859999964
116,20210804,Emb4,GW4869;25uM,FOV2,0002-1630-3019,327.727,233.804,76623.893,7530.520497999998
117,20210804,Emb4,GW4869;25uM,FOV2,0002-0706-3438,935.169,262.97700000000003,245928.305,48770.365406
