,Date,Embryo,Treatment,FOV,ROI,Area,H2BRFP Mean,H2BRFP LRP6 IntDen,H2BRFP CTCF,Surface LRP6 Mean,Surface LRP6 IntDen,Surface LRP6 CTCF,Internal LRP6 Mean,Internal LRP6 IntDen,Internal LRP6 CTCF,Total LRP6 CTCF,Internal / Surface LRP6 CTCF,Internalized Fraction CTCF,Total LRP6 Mean,Internalized Fraction Mean,Total LRP6 IntDen,Internalized Fraction IntDen,Internal / RFP,Norm
52,20210807,Emb4,ControlMO,FOV1,0004-0184-0293,363.21,1802.026,654514.523,550353.1592000001,489.388,177750.836,148631.92709,480.083,174371.214,63804.64185,212436.56894000003,0.42927951685215543,0.30034679136632453,969.471,0.49520099105594706,352122.05000000005,0.49520106451726037,0.26641291524095656,0.0002748023563788464
53,20210807,Emb4,ControlMO,FOV1,0004-0511-0765,250.572,1614.062,404439.231,332580.19284000003,315.253,78993.672,58905.064188000004,409.944,102720.549,26442.673619999987,85347.73780799999,0.4489032307240372,0.30982278264347163,725.197,0.5652863980408083,181714.22100000002,0.5652862414109019,0.2539828085909959,0.0003502259504534574
54,20210807,Emb4,ControlMO,FOV1,0004-1011-0796,169.557,1725.92,292642.094,244016.53754,332.921,56449.179,42855.624753,476.401,80777.215,29161.520845,72017.145598,0.680459589915525,0.40492469679067433,809.322,0.5886420979535958,137226.394,0.5886419707275846,0.27602727820524703,0.0003410598973032329
55,20210807,Emb4,ControlMO,FOV1,0004-0963-0683,186.628,1739.49,324637.552,271116.37416,378.722,70680.047,55717.89361200001,639.057,119265.849,62453.48638,118171.379992,1.120887426486441,0.5284992557777356,1017.779,0.6278936782936178,189945.896,0.6278937924512988,0.36738181880896126,0.00036096423566310684
56,20210807,Emb4,ControlMO,FOV1,0004-1058-0360,138.741,4026.58,558652.17,518864.02602000005,284.573,39482.009,28359.004288999997,439.925,61035.695,18800.853484999992,47159.85777399999,0.6629588716657637,0.39866221766608495,724.498,0.6072135464832201,100517.704,0.6072133820326815,0.10925524887125054,0.00015080131190320823
57,20210807,Emb4,ControlMO,FOV1,0004-0955-0306,282.067,1895.837,534753.512,453862.33774,192.038,54167.679,31554.085542999994,380.556,107342.426,21477.000195,53031.085737999994,0.6806408686993146,0.4049888833335808,572.594,0.6646175125830867,161510.105,0.6646173996357689,0.2007324469350477,0.00035056680114539733
58,20210807,Emb1,ControlMO,FOV1,0004-0533-0986,176.927,1342.873,237589.988,189450.982132,257.572,45571.397,27029.801253999998,470.264,83202.189,29133.828581,56163.629835,1.077841020998578,0.5187312263575317,727.836,0.6461125858022961,128773.586,0.6461122314323063,0.3501924604932857,0.00048114198870801344
59,20210807,Emb1,ControlMO,FOV1,0004-0712-0914,136.685,5524.566,755123.996,717934.19446,315.02,43058.383,28734.06837,515.456,70454.968,28684.442054999992,57418.51042499999,0.998272910248525,0.49956785438499984,830.476,0.6206753717145348,113513.351,0.620675606695815,0.0933025327238375,0.00011234825897899216
60,20210807,Emb1,ControlMO,FOV1,0004-0962-0187,285.737,1360.988,388884.847,311140.381092,581.965,166289.005,136344.338874,495.793,141666.534,54346.164011000015,190690.50288500002,0.39859494321376243,0.28499669982922343,1077.758,0.46002256536253966,307955.539,0.46002268528769674,0.36428903120380196,0.00033800633463523534
61,20210807,Emb1,ControlMO,FOV1,0004-0589-0323,234.968,2580.044,606226.581,542295.547688,314.74,73953.742,49329.565535999995,601.76,141394.001,69588.48510399999,118918.05063999999,1.4106851408049668,0.5851801701212279,916.5,0.6565848336061102,215347.743,0.6565845503196196,0.23323633240363342,0.0002544859055140572
62,20210807,Emb3,ControlMO,FOV4,0004-0916-0354,688.048,1605.938,1104962.509,906391.8562,595.963,410051.276,360196.00596800004,554.276,381368.405,166782.74695200004,526978.7529200001,0.46303330461364717,0.31648856054983887,1150.239,0.4818789834112736,791419.6810000001,0.48187884905530926,0.34514159326200633,0.00030006076412120115
63,20210807,Emb3,ControlMO,FOV4,0004-0363-0880,399.428,3128.193,1249487.802,1134212.8812,427.448,170734.723,141792.569548,750.306,299693.372,175121.365072,316913.93461999996,1.2350531881201112,0.5525833544743991,1177.754,0.6370651256544236,470428.095,0.6370652075956476,0.23985284795407444,0.00020365275596947617
64,20210807,Emb3,ControlMO,FOV4,0004-0181-0865,322.25,4788.491,1543091.973,1450090.623,484.626,156170.771,132820.85825000002,579.657,186794.502,86292.46100000001,219113.31925000003,0.6496905842723689,0.39382572129968774,1064.283,0.5446455501027453,342965.27300000004,0.5446455274204978,0.1210521226833255,0.0001137405395776551
65,20210807,Emb3,SMPD3MO,FOV2,0004-0214-0167,609.08,1002.532,610621.666,441301.08047999995,184.669,112478.229,56235.17272000001,419.709,255636.026,64191.82764,120427.00036,1.141488938953151,0.5330351785571951,604.378,0.6944478455536105,368114.255,0.6944475051638519,0.41864898078066337,0.0006926939444861714
66,20210807,Emb3,SMPD3MO,FOV2,0004-0745-0268,292.733,1045.686,306106.556,224728.53839799998,173.402,50760.488,23729.230046999997,424.603,124295.202,32284.243639000008,56013.473686000005,1.3605263877106535,0.5763656762295948,598.005,0.7100325248116655,175055.69,0.7100323445641784,0.4060521035951519,0.0006790112182927432
67,20210807,Emb3,SMPD3MO,FOV2,0004-0583-0240,237.536,1056.438,250941.507,184907.924216,121.319,28817.489,6883.177224000003,324.944,77185.777,2524.1740879999998,9407.351312000003,0.3667164168312861,0.26831931797637526,446.26300000000003,0.7281446142745421,106003.266,0.7281452724296249,0.30758454353213344,0.0006892450046993218
68,20210807,Emb3,SMPD3MO,FOV5,0004-0102-0701,301.588,1043.385,314672.406,228911.33438000001,186.86,56354.852,29126.582595999997,425.811,128419.418,33784.722656,62911.30525199999,1.1599274492517948,0.5370214863714969,612.671,0.6950075978787962,184774.27000000002,0.6950070375058172,0.408105349415604,0.0006661084814127059
69,20210807,Emb3,SMPD3MO,FOV5,0004-0876-1010,487.173,918.923,447674.462,309139.511855,304.982,148578.884,104595.44404099998,441.187,214934.362,62065.320675999974,166660.76471699995,0.5933845517369879,0.37240511155334394,746.1690000000001,0.5912695381341224,363513.246,0.5912696837462699,0.4801131324387354,0.0006434375221146086
70,20210807,Emb3,SMPD3MO,FOV5,0004-0543-0421,814.599,607.665,495002.984,263359.539365,232.655,189520.041,115975.599483,404.507,329511.084,73899.69298799994,189875.29247099994,0.6372003535004994,0.3892012068883938,637.162,0.6348573832086659,519031.125,0.6348580424728864,0.6656743435939211,0.0010447489705819259
71,20210807,Emb3,ControlMO,FOV3,0004-0572-0592,765.639,1544.13,1182246.648,973069.479366,383.541,293654.153,240046.407137,523.603,400890.662,162891.77885,402938.185987,0.678584532019402,0.4042599696799533,907.144,0.5771994302999303,694544.815,0.5771991286120249,0.3390925634499685,0.0003738023549182583
