,Date,Embryo,Treatment,FOV,ROI,Area,Mean,IntDen,CTCF
388,20210807,Emb2,ControlMO,FOV1,0003-0831-1321,775.1,270.464,209636.50699999998,113777.56469999999
389,20210807,Emb2,ControlMO,FOV1,0003-0867-1621,563.3430000000001,231.33700000000002,130322.37599999999,60652.05716099999
390,20210807,Emb2,ControlMO,FOV1,0003-1692-1060,1171.255,317.923,372369.145,227516.52538500002
391,20210807,Emb2,ControlMO,FOV1,0003-1129-2073,1035.288,573.758,594004.315,465967.14217599994
392,20210807,Emb2,ControlMO,FOV1,0003-0999-2248,876.919,265.334,232676.18300000002,124224.97951300003
393,20210807,Emb2,ControlMO,FOV1,0003-0928-2416,1234.868,343.539,424224.935,271505.104836
394,20210807,Emb2,ControlMO,FOV1,0003-1422-1698,931.5169999999999,334.957,312018.29600000003,196814.79405900004
395,20210807,Emb2,ControlMO,FOV1,0003-2332-1365,693.041,205.916,142708.167,56997.707406999994
396,20210807,Emb2,ControlMO,FOV1,0003-2109-1308,1307.183,352.55199999999996,460850.47,299187.226841
397,20210807,Emb11,SMPD3MO;SMPD3FLAG,FOV2,0003-1543-0495,3354.889,265.284,889997.652,652521.834135
398,20210807,Emb11,SMPD3MO;SMPD3FLAG,FOV2,0003-1911-1150,2688.4770000000003,222.96900000000002,599448.057,409144.212555
399,20210807,Emb11,SMPD3MO;SMPD3FLAG,FOV2,0003-0997-0672,3133.7659999999996,152.694,478506.60799999995,256682.98169
400,20210807,Emb11,SMPD3MO;SMPD3FLAG,FOV2,0003-1440-1003,1167.3519999999999,368.615,430303.269,347672.25768
401,20210807,Emb11,SMPD3MO;SMPD3FLAG,FOV2,0003-1126-1953,998.252,144.781,144527.62099999998,73866.35317999999
402,20210807,Emb1,SMPD3MO,FOV2,0003-0954-1917,711.955,550.249,391752.661,308610.55610000005
403,20210807,Emb1,SMPD3MO,FOV2,0003-1311-1759,754.0260000000001,413.619,311879.128,223823.97172000003
404,20210807,Emb1,SMPD3MO,FOV2,0003-1174-1659,475.88599999999997,348.421,165808.52800000002,110234.56092000002
405,20210807,Emb1,SMPD3MO,FOV2,0003-1182-1392,501.955,207.35,104080.61300000001,45462.30810000002
406,20210807,Emb1,SMPD3MO,FOV2,0003-1164-0672,635.893,160.254,101904.615,27645.030459999994
407,20210807,Emb1,SMPD3MO,FOV2,0003-1476-0534,541.06,265.57099999999997,143689.494,80504.50720000002
408,20210807,Emb1,SMPD3MO,FOV2,0001-1576-0700,464.139,274.901,127592.323,73390.17058
409,20210807,Emb1,SMPD3MO,FOV2,0001-1794-0922,475.18300000000005,320.952,152511.228,97019.35725999999
410,20210807,Emb1,SMPD3MO,FOV2,0001-2287-1020,651.894,277.79400000000004,181092.548,104964.36668
411,20210807,Emb1,SMPD3MO,FOV2,0001-1747-0391,550.6990000000001,308.45,169862.923,105552.29378
412,20210807,Emb3,ControlMO,FOV4,0003-0270-1986,1212.506,254.998,309186.31899999996,164568.30336799994
413,20210807,Emb3,ControlMO,FOV4,0003-1096-2284,1245.053,315.717,393084.652,244584.69058399997
414,20210807,Emb3,ControlMO,FOV4,0003-1239-2431,1268.235,232.47,294827.11600000004,143562.19108000005
415,20210807,Emb3,ControlMO,FOV4,0003-0925-2529,821.073,324.585,266507.687,168576.668144
416,20210807,Emb3,ControlMO,FOV4,0003-1686-1230,1439.378,235.31099999999998,338700.99100000004,167023.49818400003
417,20210807,Emb3,ControlMO,FOV4,0003-1809-1398,727.566,347.845,253079.91,166301.658048
